index errVelAzim errVelMagn estVelAzim estVelMagn eventTime losVelAzim losVelMagn losazimRange nUniqAzims rbspLocMlat rbspLocMlt sat filter_lat_range filter_mlt_range
100 3.561972949070155 44.82835364304719 11.378621207774485 324.18932632294104 "2013-03-16 09:34:00" -37.82 -147.2389 6.48 3 58.6393 23.0655 satA 0.5 0.5
103 9.668031852833396 52.18369820920722 -0.304149264271717 223.59442008032275 "2013-03-16 09:34:00" -37.82 -147.2389 9.720000000000002 4 58.6393 23.0655 satA 1.0 0.5
104 0.2201855625404946 6.376549826214047 -11.05590710427202 893.7271872508655 "2013-03-16 09:34:00" -5.42 -251.1239 34.160000000000004 3 61.5989 0.0955 satB 1.0 0.5
106 16.829904890631603 187.6739086007012 -15.008882346875168 581.2954734945166 "2013-03-16 09:34:00" -5.42 -251.1239 34.160000000000004 5 61.5989 0.0955 satB 1.0 1.0
107 3.7010064779816205 45.37259970192336 9.676382911876741 327.3343465144482 "2013-03-16 09:36:00" -37.82 -152.6298 6.48 3 58.8015 23.1007 satA 0.5 0.5
109 0.885082569066037 135.23231609581967 18.33522072674764 2059.292113709434 "2013-03-16 09:36:00" -33.1 -532.6652 3.240000000000002 2 61.6807 0.126 satB 0.5 1.0
110 8.48442237535168 53.01321728609172 0.5436970602732006 245.6918772882015 "2013-03-16 09:36:00" -37.82 -152.6298 6.48 3 58.8015 23.1007 satA 1.0 0.5
113 3.644163784231651 49.24882762301703 -13.030614520734115 653.1589827123598 "2013-03-16 09:36:00" -5.42 -179.6342 30.92 4 61.6807 0.126 satB 1.0 1.0
114 7.012336522878448 31.88996987479702 -5.290712998643439 222.34989190477293 "2013-03-16 09:38:00" -37.82 -151.2312 6.48 3 58.915 23.1317 satA 0.5 0.5
116 inf inf 8.49194231595135 1241.47683169948 "2013-03-16 09:38:00" -33.1 -516.9617 3.240000000000002 2 61.6839 0.145 satB 0.5 1.0
120 4.267724625280272 101.77328749069544 -5.800865513211244 754.5002228952487 "2013-03-16 09:38:00" -15.14 -125.556 37.4 6 61.6839 0.145 satB 1.0 1.0
126 3.928057017028319 149.68353953291808 -2.5895650381460302 877.1823077611548 "2013-03-16 09:40:00" -15.14 -125.556 37.4 9 61.7157 0.1714 satB 1.0 1.0
127 12.291923571663304 36.98501934549899 -11.857617196867203 181.24925894133628 "2013-03-16 09:42:00" -34.58 -132.8026 6.48 3.0 59.1459 23.1868 satA 0.5 0.5
129 inf inf 10.464089295163621 1449.5750390056965 "2013-03-16 09:42:00" -15.14 -118.1686 14.719999999999999 2 61.7397 0.188 satB 0.5 1.0
133 1.9390855106603444 139.73604856722906 4.977833915431897 1091.1075746295737 "2013-03-16 09:42:00" -15.14 -148.4192 27.68 7 61.7397 0.188 satB 1.0 1.0
135 3.0803534802256163 54.656679866564986 -3.287874374054179 361.15900604541815 "2013-03-16 09:44:00" -15.14 -116.0589 3.2399999999999984 2 61.7787 0.2171 satB 0.5 0.5
137 0.9590711159450133 109.20106030386187 11.245203285951087 1427.418193166029 "2013-03-16 09:44:00" -15.14 -116.0589 14.719999999999999 3 61.7787 0.2171 satB 0.5 1.0
139 8.50187278788056 62.35051382088838 -15.73300548958675 248.6715960403161 "2013-03-16 09:44:00" -15.14 -139.6317 9.719999999999999 4 61.7787 0.2171 satB 1.0 0.5
141 1.5977054429499664 146.33103693587498 7.595607491909513 1090.616587351667 "2013-03-16 09:44:00" -15.14 -139.6317 21.2 5 61.7787 0.2171 satB 1.0 1.0
143 13.903688705437068 90.14423162242312 -13.91600496489812 220.57674226973725 "2013-03-16 09:46:00" -15.14 -112.7735 3.2399999999999984 2 61.8092 0.2448 satB 0.5 0.5
145 1.2181741679491458 232.9983378116159 12.67401806323898 1649.5759887628412 "2013-03-16 09:46:00" -15.14 -112.7735 14.719999999999999 3 61.8092 0.2448 satB 0.5 1.0
146 12.096595322852686 31.660828192319943 -14.00259735447683 174.13214634862038 "2013-03-16 09:46:00" -37.82 -133.5162 6.48 3 59.3889 23.2592 satA 1.0 0.5
147 13.08634370948404 87.38120247944536 -14.658857051803436 230.44852693990563 "2013-03-16 09:46:00" -15.14 -113.2912 6.479999999999999 3 61.8092 0.2448 satB 1.0 0.5
149 1.1440476618185573 166.33005038658547 11.224568978504374 1414.8819465872182 "2013-03-16 09:46:00" -15.14 -113.2912 17.96 4 61.8092 0.2448 satB 1.0 1.0
150 37.23594369312445 139.58510089973024 -8.11112278059103 190.80348358674271 "2013-03-16 09:48:00" -34.58 -135.466 3.2399999999999984 2.0 59.4641 23.2854 satA 0.5 0.5
152 inf inf 15.315159959106255 2009.490368462987 "2013-03-16 09:48:00" -18.38 -107.4395 11.48 2 61.8076 0.2737 satB 0.5 1.0
155 0.8113255877557474 143.7480967173369 14.65430983887489 1786.829109554756 "2013-03-16 09:48:00" -18.38 -133.3492 11.48 2 61.8076 0.2737 satB 1.0 1.0
158 0.003231912453921795 0.40652251455023825 13.584175364092905 1285.6487164298687 "2013-03-16 09:50:00" -18.38 -107.4395 11.48 2 61.8352 0.29 satB 1.0 1.0
